ID,Language,Subscription_Type,Subscription_Event_Type,Purchase_Store,Purchase_Amount,Currency,Subscription_Start_Date,Subscription_Expiration,Demo_User,Free_Trial_User,Free_Trial_Start_Date,Free_Trial_Expiration,Auto_Renew,Country,User_Type,Lead_Platform,Email_Subscriber,Push_Notifications,Send_Count,Open_Count,Click_Count,Unique_Open_Count,Unique_Click_Count,Currency_Ex_Rate,Purchase_Amount_in_USD,Subscription_Length,  USD_per_day  ,,
38338,JPN,Limited,INITIAL_PURCHASE,Web,179,USD,12/2/19,2/25/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,5,3,0,2,0,1,$179.00,85, $2.11 ,,
24953,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/7/20,4/22/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,54,19,0,11,0,1,$95.88,46, $2.08 ,,
23724,ESP,Limited,INITIAL_PURCHASE,Web,174.88,USD,7/14/19,10/14/19,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,1,$174.88,92, $1.90 ,,
38680,FRA,Limited,INITIAL_PURCHASE,Web,179,USD,12/3/19,3/9/20,No,No,NULL,NULL,No,US/Canada,Consumer,Web,Yes,Yes,2,1,0,1,0,1,$179.00,97, $1.85 ,,
16734,ESP,Limited,INITIAL_PURCHASE,Web,119.76,USD,10/4/19,12/10/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,1,0,0,0,0,1,$119.76,67, $1.79 ,,
36448,ESC,Limited,INITIAL_PURCHASE,Web,199,GBP,9/30/19,2/18/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,6,6,6,1,1,0.786705,$252.95,141, $1.79 ,,
16022,ESC,Limited,INITIAL_PURCHASE,Web,139,EUR,10/21/19,1/16/20,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$153.56,87, $1.77 ,,
7308,ESP,Limited,INITIAL_PURCHASE,Web,157.19,USD,11/2/19,2/2/20,No,No,NULL,NULL,No,US/Canada,Consumer,Web,Yes,Yes,7,0,0,0,0,1,$157.19,92, $1.71 ,,
6406,ESP,Limited,RENEWAL,App,299,USD,3/18/20,9/13/20,No,No,NULL,NULL,Yes,US/Canada,Consumer,Web,Yes,Yes,25,25,21,5,2,1,$299.00,179, $1.67 ,,
20061,EBR,Limited,INITIAL_PURCHASE,Web,138,EUR,7/15/19,10/15/19,Yes,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$152.45,92, $1.66 ,,
25084,EBR,Limited,INITIAL_PURCHASE,Web,138,EUR,7/29/19,10/29/19,Yes,No,NULL,NULL,Yes,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$152.45,92, $1.66 ,,
33444,EBR,Limited,INITIAL_PURCHASE,Web,138,EUR,6/22/19,9/22/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$152.45,92, $1.66 ,,
33799,FRA,Limited,INITIAL_PURCHASE,Web,138,EUR,8/20/19,11/20/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$152.45,92, $1.66 ,,
38998,ESP,Limited,INITIAL_PURCHASE,Web,302.25,USD,9/26/19,3/26/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,10,10,0,3,0,1,$302.25,182, $1.66 ,,
35437,ESP,Limited,INITIAL_PURCHASE,Web,150.1,USD,12/21/19,3/21/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,10,4,1,2,1,1,$150.10,91, $1.65 ,,
34322,EBR,Limited,INITIAL_PURCHASE,Web,38,GBP,11/14/19,12/14/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$48.30,30, $1.61 ,,
34667,EBR,Limited,INITIAL_PURCHASE,Web,39,GBP,11/30/19,1/1/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$49.57,32, $1.55 ,,
32632,FRA,Limited,INITIAL_PURCHASE,Web,126,EUR,2/21/20,5/21/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,12,12,0,2,0,0.905187,$139.20,90, $1.55 ,,
84,RUS,Limited,INITIAL_PURCHASE,Web,143.76,USD,9/27/19,12/30/19,No,Yes,6/6/19,6/9/19,Yes,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,1,$143.76,94, $1.53 ,,
35034,TGL,Limited,INITIAL_PURCHASE,Web,136.09,USD,9/3/19,12/4/19,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,2,0,0,0,0,1,$136.09,92, $1.48 ,,
30395,ESC,Limited,INITIAL_PURCHASE,Web,118,EUR,1/15/20,4/15/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,2,0,0,0,0,0.905187,$130.36,91, $1.43 ,,
22749,RUS,Limited,INITIAL_PURCHASE,Web,99,GBP,3/22/20,6/22/20,No,No,NULL,NULL,Yes,Europe,Consumer,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL,0.786705,$125.84,92, $1.37 ,,
35654,NED,Limited,INITIAL_PURCHASE,Web,99,GBP,3/24/20,6/24/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$125.84,92, $1.37 ,,
37420,ESP,Limited,INITIAL_PURCHASE,Web,99,GBP,3/24/20,6/24/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$125.84,92, $1.37 ,,
22340,NED,Limited,INITIAL_PURCHASE,Web,218,EUR,9/3/19,3/3/20,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,9,9,0,2,0,0.905187,$240.83,182, $1.32 ,,
10223,ITA,Limited,INITIAL_PURCHASE,Web,218,EUR,6/29/19,12/29/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$240.83,183, $1.32 ,,
24131,ESP,Limited,INITIAL_PURCHASE,Web,99,GBP,3/12/20,6/16/20,No,Yes,3/12/20,3/15/20,Yes,Europe,Consumer,Web,No,Yes,4,0,0,0,0,0.786705,$125.84,96, $1.31 ,,
5687,ITA,Limited,INITIAL_PURCHASE,Web,189,GBP,1/14/20,7/17/20,No,Yes,1/14/20,1/17/20,Yes,Europe,Consumer,Web,No,Yes,76,76,76,3,3,0.786705,$240.24,185, $1.30 ,,
14710,FRA,Limited,INITIAL_PURCHASE,Web,99,GBP,3/23/20,6/29/20,No,Yes,3/23/20,3/26/20,Yes,Europe,Consumer,Web,No,Yes,4,0,0,0,0,0.786705,$125.84,98, $1.28 ,,
35608,GLE,Limited,INITIAL_PURCHASE,Web,39,USD,11/29/19,12/30/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,6,6,0,2,0,1,$39.00,31, $1.26 ,,
30057,EBR,Limited,INITIAL_PURCHASE,Web,38.66,EUR,2/1/19,3/7/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$42.71,34, $1.26 ,,
39809,ENG,Limited,INITIAL_PURCHASE,Web,114.17,USD,7/24/19,10/24/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,21,0,0,0,0,1,$114.17,92, $1.24 ,,
4138,ENG,Limited,INITIAL_PURCHASE,Web,99,EUR,2/10/20,5/10/20,No,Yes,2/9/20,2/12/20,No,Europe,Consumer,Web,No,Yes,6,3,0,2,0,0.905187,$109.37,90, $1.22 ,,
37494,FRA,Limited,INITIAL_PURCHASE,Web,99,EUR,2/1/20,5/1/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,10,10,0,2,0,0.905187,$109.37,90, $1.22 ,,
2325,NED,Limited,INITIAL_PURCHASE,Web,99,EUR,1/20/20,4/20/20,No,No,NULL,NULL,Yes,Europe,Consumer,Web,No,Yes,4,0,0,0,0,0.905187,$109.37,91, $1.20 ,,
18945,SVE,Limited,INITIAL_PURCHASE,Web,99,EUR,9/16/19,12/16/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,91, $1.20 ,,
25352,EBR,Limited,INITIAL_PURCHASE,Web,99,EUR,9/5/19,12/5/19,No,No,NULL,NULL,No,Europe,Consumer,Web,Yes,Yes,153,2,0,2,0,0.905187,$109.37,91, $1.20 ,,
31526,POR,Limited,INITIAL_PURCHASE,Web,99,EUR,9/12/19,12/12/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,91, $1.20 ,,
18888,CHI,Limited,INITIAL_PURCHASE,Web,99,EUR,3/22/20,6/22/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
21566,HEB,Limited,INITIAL_PURCHASE,Web,99,EUR,3/22/20,6/22/20,No,No,NULL,NULL,Yes,Other,Consumer,Web,Yes,Yes,56,10,9,5,4,0.905187,$109.37,92, $1.19 ,,
28324,JPN,Limited,INITIAL_PURCHASE,Web,99,EUR,3/20/20,6/20/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
29639,ENG,Limited,INITIAL_PURCHASE,Web,99,EUR,8/30/19,11/30/19,No,No,NULL,NULL,Yes,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
29986,EBR,Limited,INITIAL_PURCHASE,Web,99,EUR,7/19/19,10/19/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
30725,EBR,Limited,INITIAL_PURCHASE,Web,99,EUR,7/15/19,10/15/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
32634,ENG,Limited,INITIAL_PURCHASE,Web,99,EUR,10/3/19,1/3/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
34237,DEU,Limited,INITIAL_PURCHASE,Web,99,EUR,3/23/20,6/23/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,5,0,0,0,0,0.905187,$109.37,92, $1.19 ,,
37446,EBR,Limited,INITIAL_PURCHASE,Web,99,EUR,3/19/20,6/19/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
39553,DEU,Limited,INITIAL_PURCHASE,Web,99,EUR,8/14/19,11/14/19,Yes,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,92, $1.19 ,,
8310,EBR,Limited,INITIAL_PURCHASE,Web,96.6,EUR,9/10/19,12/10/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$106.72,91, $1.17 ,,
26557,ESP,Limited,INITIAL_PURCHASE,Web,107.91,USD,7/9/19,10/9/19,Yes,No,NULL,NULL,Yes,Other,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,1,$107.91,92, $1.17 ,,
26411,FRA,Limited,INITIAL_PURCHASE,Web,107.94,USD,10/24/19,1/24/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,1,$107.94,92, $1.17 ,,
1046,EBR,Limited,INITIAL_PURCHASE,Web,96.6,EUR,8/3/19,11/3/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$106.72,92, $1.16 ,,
9736,EBR,Limited,INITIAL_PURCHASE,Web,96.6,EUR,8/2/19,11/2/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$106.72,92, $1.16 ,,
32512,EBR,Limited,INITIAL_PURCHASE,Web,96.6,EUR,6/26/19,9/26/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$106.72,92, $1.16 ,,
19159,ESC,Limited,INITIAL_PURCHASE,Web,99,EUR,3/29/20,7/1/20,No,Yes,3/29/20,4/1/20,Yes,Europe,Consumer,Web,No,Yes,19,17,0,3,0,0.905187,$109.37,94, $1.16 ,,
18158,DEU,Limited,INITIAL_PURCHASE,Web,99,EUR,3/17/20,6/20/20,No,Yes,3/17/20,3/20/20,Yes,Europe,Consumer,Web,Yes,Yes,8,5,3,3,1,0.905187,$109.37,95, $1.15 ,,
3813,DEU,Limited,INITIAL_PURCHASE,Web,189,EUR,2/1/20,8/1/20,No,Yes,4/21/20,4/24/20,Yes,Europe,Consumer,Web,Yes,Yes,5,0,0,0,0,0.905187,$208.80,182, $1.15 ,,
31255,ESC,Limited,INITIAL_PURCHASE,Web,189,EUR,10/29/19,4/29/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,1,0,0,0,0,0.905187,$208.80,183, $1.14 ,,
3726,ENG,Limited,INITIAL_PURCHASE,Web,30.53,EUR,5/1/19,5/31/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$33.73,30, $1.12 ,,
3405,EBR,Limited,INITIAL_PURCHASE,Web,189,EUR,10/26/19,5/2/20,No,Yes,10/26/19,10/29/19,Yes,Europe,Consumer,Web,Yes,Yes,50,29,0,16,0,0.905187,$208.80,189, $1.10 ,,
17811,ESP,Limited,INITIAL_PURCHASE,Web,198,USD,9/12/19,3/12/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,27,27,6,4,1,1,$198.00,182, $1.09 ,,
9541,ENG,Limited,INITIAL_PURCHASE,Web,89,EUR,12/15/19,3/15/20,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,2,2,0,1,0,0.905187,$98.32,91, $1.08 ,,
31980,FRA,Limited,INITIAL_PURCHASE,Web,29,EUR,9/12/19,10/12/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$32.04,30, $1.07 ,,
6662,TUR,Limited,INITIAL_PURCHASE,Web,30.53,EUR,12/31/18,2/1/19,No,No,NULL,NULL,No,Europe,Other,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$33.73,32, $1.05 ,,
7321,EBR,Limited,INITIAL_PURCHASE,Web,69,GBP,9/17/19,12/11/19,No,Yes,11/1/19,11/4/19,Yes,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.786705,$87.71,85, $1.03 ,,
9938,ESP,Limited,INITIAL_PURCHASE,Web,376.2,USD,12/2/19,12/2/20,No,Yes,1/29/20,2/1/20,No,Europe,Consumer,Web,No,Yes,26,21,0,4,0,1,$376.20,366, $1.03 ,,
22001,FRA,Limited,INITIAL_PURCHASE,Web,74,GBP,8/18/19,11/18/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$94.06,92, $1.02 ,,
35103,ARA,Limited,INITIAL_PURCHASE,Web,298,GBP,2/11/19,2/16/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,5,5,4,2,1,0.786705,$378.80,370, $1.02 ,,
1459,ITA,Limited,INITIAL_PURCHASE,Web,27.73,EUR,5/29/19,6/29/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$30.63,31, $0.99 ,,
28309,ESC,Limited,INITIAL_PURCHASE,Web,27.73,EUR,3/15/19,4/15/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$30.63,31, $0.99 ,,
5679,ENG,Limited,INITIAL_PURCHASE,Web,82.8,EUR,8/7/19,11/7/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$91.47,92, $0.99 ,,
29626,EBR,Limited,INITIAL_PURCHASE,Web,82.8,EUR,8/14/19,11/14/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$91.47,92, $0.99 ,,
7550,ESP,Limited,INITIAL_PURCHASE,Web,147,USD,6/3/19,10/30/19,No,Yes,9/29/19,10/2/19,No,Europe,Consumer,Web,No,Yes,3,0,0,0,0,1,$147.00,149, $0.99 ,,
35237,ENG,Limited,INITIAL_PURCHASE,Web,30.53,EUR,1/31/19,3/7/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$33.73,35, $0.96 ,,
3647,GRK,Limited,INITIAL_PURCHASE,Web,79,EUR,9/11/19,12/11/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$87.27,91, $0.96 ,,
6922,EBR,Limited,INITIAL_PURCHASE,Web,79,EUR,1/20/20,4/20/20,Yes,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,1,1,0,1,0,0.905187,$87.27,91, $0.96 ,,
7331,EBR,Limited,INITIAL_PURCHASE,Web,79,EUR,1/23/20,4/23/20,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,2,2,0,1,0,0.905187,$87.27,91, $0.96 ,,
10790,ESP,Limited,INITIAL_PURCHASE,Web,86.01,USD,1/26/20,4/26/20,Yes,No,NULL,NULL,No,US/Canada,Consumer,Web,Yes,Yes,22,12,2,5,1,1,$86.01,91, $0.95 ,,
37986,ENG,Limited,INITIAL_PURCHASE,Web,78,EUR,1/5/20,4/5/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,2,2,0,1,0,0.905187,$86.17,91, $0.95 ,,
15075,JPN,Limited,INITIAL_PURCHASE,Web,87.22,USD,11/18/19,2/18/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,8,0,0,0,0,1,$87.22,92, $0.95 ,,
1403,EBR,Limited,INITIAL_PURCHASE,Web,79,EUR,3/16/20,6/16/20,Yes,No,NULL,NULL,Yes,Europe,Consumer,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$87.27,92, $0.95 ,,
10461,JPN,Limited,INITIAL_PURCHASE,Web,79,EUR,10/10/19,1/10/20,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$87.27,92, $0.95 ,,
15420,EBR,Limited,INITIAL_PURCHASE,Web,79,EUR,3/22/20,6/22/20,No,No,NULL,NULL,Yes,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$87.27,92, $0.95 ,,
29284,ENG,Limited,INITIAL_PURCHASE,Web,79,EUR,7/1/19,10/1/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$87.27,92, $0.95 ,,
34659,ENG,Limited,INITIAL_PURCHASE,Web,79,EUR,11/20/19,2/20/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,2,0,0,0,0,0.905187,$87.27,92, $0.95 ,,
39073,DEU,Limited,INITIAL_PURCHASE,Web,79.2,EUR,3/23/20,6/23/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,8,5,0,1,0,0.905187,$87.50,92, $0.95 ,,
27256,ITA,Limited,INITIAL_PURCHASE,Web,85.32,USD,1/26/20,4/26/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,13,0,0,0,0,1,$85.32,91, $0.94 ,,
39478,JPN,Limited,INITIAL_PURCHASE,Web,86.31,USD,7/15/19,10/15/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,29,0,0,0,0,1,$86.31,92, $0.94 ,,
33586,DEU,Limited,INITIAL_PURCHASE,Web,78.4,EUR,11/21/19,2/21/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,3,2,0,1,0,0.905187,$86.61,92, $0.94 ,,
26817,JPN,Limited,INITIAL_PURCHASE,Web,38.66,EUR,1/20/19,3/7/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.905187,$42.71,46, $0.93 ,,
26937,FAR,Limited,INITIAL_PURCHASE,Web,84.21,USD,1/24/20,4/24/20,No,No,NULL,NULL,Yes,Other,Other,Unknown,No,No,20,11,0,3,0,1,$84.21,91, $0.93 ,,
1524,TGL,Limited,INITIAL_PURCHASE,Web,84.53,USD,11/30/19,2/29/20,Yes,No,NULL,NULL,No,US/Canada,Consumer,App,Yes,Yes,14,5,0,2,0,1,$84.53,91, $0.93 ,,
